dataops-prometheus  | time=2026-03-20T16:14:52.792Z level=INFO source=main.go:1611 msg="updated GOGC" old=100 new=75
dataops-prometheus  | time=2026-03-20T16:14:52.793Z level=INFO source=main.go:723 msg="Leaving GOMAXPROCS=5: CPU quota undefined" component=automaxprocs
dataops-prometheus  | time=2026-03-20T16:14:52.794Z level=INFO source=memlimit.go:168 msg="GOMEMLIMIT is updated" component=automemlimit package=github.com/KimMachineGun/automemlimit/memlimit GOMEMLIMIT=3698683084 previous=9223372036854775807
dataops-prometheus  | time=2026-03-20T16:14:52.794Z level=INFO source=main.go:771 msg="No time or size retention was set so using the default time retention" duration=15d
dataops-prometheus  | time=2026-03-20T16:14:52.794Z level=INFO source=main.go:822 msg="Starting Prometheus Server" mode=server version="(version=3.10.0, branch=HEAD, revision=54e010926b0a270cadb22be1113ad45fe9bcb90a)"
dataops-prometheus  | time=2026-03-20T16:14:52.794Z level=INFO source=main.go:827 msg="operational information" build_context="(go=go1.26.0, platform=linux/arm64, user=root@2ee2be8e6652, date=20260225-21:17:03, tags=netgo,builtinassets)" host_details="(Linux 6.12.54-linuxkit #1 SMP Tue Nov  4 21:21:47 UTC 2025 aarch64 047e7f89ef64 (none))" fd_limits="(soft=1048576, hard=1048576)" vm_limits="(soft=unlimited, hard=unlimited)"
dataops-prometheus  | time=2026-03-20T16:14:52.909Z level=INFO source=web.go:696 msg="Start listening for connections" component=web address=0.0.0.0:9090
dataops-prometheus  | time=2026-03-20T16:14:52.914Z level=INFO source=main.go:1350 msg="Starting TSDB ..."
dataops-prometheus  | time=2026-03-20T16:14:52.917Z level=INFO source=tls_config.go:354 msg="Listening on" component=web address=[::]:9090
dataops-prometheus  | time=2026-03-20T16:14:52.917Z level=INFO source=head.go:680 msg="Replaying on-disk memory mappable chunks if any" component=tsdb
dataops-prometheus  | time=2026-03-20T16:14:52.918Z level=INFO source=head.go:766 msg="On-disk memory mappable chunks replay completed" component=tsdb duration=1.125µs
dataops-prometheus  | time=2026-03-20T16:14:52.918Z level=INFO source=head.go:774 msg="Replaying WAL, this may take a while" component=tsdb
dataops-prometheus  | time=2026-03-20T16:14:52.918Z level=INFO source=tls_config.go:357 msg="TLS is disabled." component=web http2=false address=[::]:9090
dataops-prometheus  | time=2026-03-20T16:14:52.918Z level=INFO source=head.go:847 msg="WAL segment loaded" component=tsdb segment=0 maxSegment=0 duration=717.25µs
dataops-prometheus  | time=2026-03-20T16:14:52.916Z level=INFO source=head.go:884 msg="WAL replay completed" component=tsdb checkpoint_replay_duration=78µs wal_replay_duration=813.041µs wbl_replay_duration=291ns chunk_snapshot_load_duration=0s mmap_chunk_replay_duration=1.125µs total_replay_duration=916.417µs
dataops-prometheus  | time=2026-03-20T16:14:52.916Z level=INFO source=main.go:1371 msg="filesystem information" fs_type=EXT4_SUPER_MAGIC
dataops-prometheus  | time=2026-03-20T16:14:52.916Z level=INFO source=main.go:1374 msg="TSDB started"
dataops-prometheus  | time=2026-03-20T16:14:52.916Z level=INFO source=main.go:1564 msg="Loading configuration file" filename=/etc/prometheus/prometheus.yml
dataops-prometheus  | time=2026-03-20T16:14:52.920Z level=INFO source=main.go:1604 msg="Completed loading of configuration file" db_storage=1.333µs remote_storage=1.458µs web_handler=13.833µs query_engine=1.292µs scrape=154µs scrape_sd=17.334µs notify=750ns notify_sd=750ns rules=1.542µs tracing=4.791µs filename=/etc/prometheus/prometheus.yml totalDuration=808.458µs
dataops-prometheus  | time=2026-03-20T16:14:52.920Z level=INFO source=main.go:1335 msg="Server is ready to receive web requests."
dataops-prometheus  | time=2026-03-20T16:14:52.920Z level=INFO source=manager.go:202 msg="Starting rule manager..." component="rule manager"

